aid	title_google	title_onlinedoc	title_deepl
119875	Förstemann has to be operated after heavy fall 	Förstemann has to be operated on after a serious fall	Förstemann needs surgery after heavy fall
119876	Glamorous prelude of Cultural City Year in Plovdiv 	A brilliant start to the year of the Capital of Culture in Plovdiv	Splendid start of Capital of Culture Year in Plovdiv
119877	Big plans and small construction areas for Odenthal 	Big plans and small building areas for Odenthal	Big plans and small construction areas for Odenthal
119878	FC Bayern reaches the final in a long penalty shootout 	FC Bayern reached the final in a long penalty shootout	FC Bayern reaches final in long penalty shootout
119880	Before Bahn-Krisendeffen: Calls to radical consolidated conversion 	Before rail crisis meetings: calls for radical corporate restructuring	Before rail crisis meeting: Calls for radical restructuring of the Group
119881	Donald Trump breaks record 	Donald Trump breaks record	Donald Trump breaks record
119882	Men's persecution: Lesser renounces private reasons 	Persecution of men: Lesser waives for private reasons	Men's pursuit: Lesser renounces for private reasons
119884	"""Lessing days"" look at the crisis regions of the world "	“Lessingtage” look at the world's crisis regions	"""Lessingtage"" looks at the crisis regions of the world"
119885	Also Nadal and Halep regret Murray's farewell 	Nadal and Halep also regret Murray's departure	Nadal and Halep also regret Murray's departure
119886	Semper in front of the World Cup return - victory against Russia the goal 	Semper before World Cup return - victory against Russia the goal	Semper ahead of World Cup return - victory against Russia the goal
119888	German handball players ready for fighting group win 	German handball players ready for battle for group victory	German handball players ready to fight for group victory
119889	Police find weapons in the environment of Bandidos party 	Police find guns around Bandidos party	Police find weapons around Bandidos party
119890	Annegret Kramp Karrenbauer speaks powerful in terms of chancellor's question 	Annegret Kramp-Karrenbauer speaks power when it comes to the question of the chancellor	Annegret Kramp-Karrenbauer puts her foot down on the chancellor issue
119891	Fortuna again tournament twitter after victory against Hertha 	Fortuna again third in the tournament after beating Hertha	Fortuna again third in tournament after win against Hertha
119892	With him Lohmar gets the blues 	With him Lohmar gets the blues	With him Lohmar gets the blues
119893	Stepfather killed with ax - prosecutor calls for a long prison sentence 	Stepfather killed with ax - prosecutor calls for long prison term	Stepfather killed with axe - prosecutor demands long prison sentence
119894	World Cup host Qatar and Japan in the Asia Cup Octagonal Final 	World Cup hosts Qatar and Japan in the Asian Cup round of 16	World Cup hosts Qatar and Japan in the Asian Cup round of 16
119895	Naldo: spreading no bad mood 	Naldo: Don't spread a bad mood	Naldo: Don't spread bad vibes
119896	Hannover 96 wins XXL test against Heracles Almelo 4: 1 	Hannover 96 wins XXL test against Heracles Almelo 4: 1	Hannover 96 wins XXL test against Heracles Almelo 4:1
119897	Kölner Children's pitch with music, singing and dance proclaimed 	Cologne children's triumvirate proclaimed with music, song and dance	Cologne children's triumvirate proclaimed with music, song and dance
119898	A snapside of Fortuna Dusseldorf 	A crazy idea from Fortuna Düsseldorf	A snap idea from Fortuna Düsseldorf
119899	Strong show, weak Kölner sharks 	Strong show, weak Cologne sharks	Strong show, weak Cologne Sharks
119901	Record winner FC Bayern wins Telekom Cup for the fifth time 	Record winner FC Bayern wins Telekom Cup for the fifth time	Record winner FC Bayern wins Telekom Cup for the fifth time
119902	"Drive without trousers underground: ""no pants subway ride"" in Berlin "	Ride the subway without pants: “No Pants Subway Ride” in Berlin	"Riding the subway without pants: ""No Pants Subway Ride"" in Berlin"
119903	1. FC Union Berlin commits Nicolai Rapp from Aue 	1. FC Union Berlin signs Nicolai Rapp from Aue	1. FC Union Berlin signs Nicolai Rapp from Aue
119904	FC talents are attentive in the training camp 	FC talents draw attention to themselves in the training camp	FC talents attract attention in training camp
119905	Venezuela's secret service takes Parliament Chief Guaidó 	Venezuela's secret service arrests parliamentary leader Guaidó	Venezuela's secret service arrests parliamentary leader Guaidó
119906	Mitfavorit Croatia wins second game at Handball World Cup 	Co-favorite Croatia wins second game at Handball World Cup	Co-favorite Croatia wins second match at World Handball Championship
119907	Car experts: US car market will be weaker in 2019 	Auto experts: US auto market will weaken in 2019	Auto experts: US auto market will weaken in 2019
119908	"""Gorch Fock"": Court of Auditors raises accusation against Bundeswehr "	“Gorch Fock”: Court of Auditors raises allegations against the Bundeswehr	"""Gorch Fock"": Court of Auditors raises accusation against Bundeswehr"
119909	Brexit: Hard power struggle between government and parliament 	Brexit: tough power struggle between government and parliament	Brexit: Tough power struggle between government and parliament
119910	Lukas Podolski trusts Bundesliga return 	Lukas Podolski dares to return to the Bundesliga	Lukas Podolski confident of Bundesliga return
119911	100 people drive in underpants through Berlin 	100 people drive through Berlin in underpants	100 people drive through Berlin in their underpants
119912	Fire Unterm City Center was arguing according to police 	According to the police, fire under the city center was arson	Fire under City Center was arson according to police
119914	"ZORC: ""For dreaming we do not get a victory"" "	"Zorc: ""We don't get a victory for daydreams"""	"Zorc: ""We don't get a win for dreaming""."
119916	People have to prepare for the return of the wolf 	Humans need to prepare for the wolf's return	People need to prepare for the return of the wolf
119917	Kobayashi flies past the record 	Kobayashi flies past the record	Kobayashi flies past the record
119918	Tottenham Hotspur loses 0: 1 against Manchester United 	Tottenham Hotspur lost 1-0 to Manchester United	Tottenham Hotspur loses 0:1 against Manchester United
119921	Building permit for the new Porzer Mitte is here 	The building permit for the new center of Porz has been received	Building permit for the new Porzer Mitte has arrived
119922	Two seriously injured after accidents in Mechernich and Bundünd 	Two seriously injured after accidents in Mechernich and Gemünd	Two seriously injured after accidents in Mechernich and Gemünd
119925	Thuringia's CDU boss publicly power in video cancer 	Thuringia's CDU boss makes cancer public in video	Thuringia's CDU leader makes cancer disease public in video
119926	Two people injured in collapse of cars 	Two people injured in a collision by a car	Two people injured in collision of passenger cars
119927	Messi scores 400. League gate at 3: 0 victory against Eibar 	Messi scores 400th league goal in a 3-0 win over Eibar	Messi scores 400th league goal in 3-0 win over Eibar
119929	"EU in ""Badest Constitution since its founding"" "	"EU in ""worst condition since it was founded"""	"EU in ""worst shape since its founding"""
119930	Schäfer admits mistakes with sparkle negotiations 	Schäfer admits mistakes in sparkling negotiations	Schäfer admits mistakes in Funkel negotiations
119931	Mayor announces significant changes for Euskirchen 	Mayor announces significant changes for Euskirchen	Mayor announces significant changes for Euskirchen
119932	1. FC Cologne commits Johannes Geis - Monday training start 	1. FC Köln sign Johannes Geis - training starts on Monday	1. FC Köln signs Johannes Geis - Monday start of training already
119933	Danzig's mayor after knife attack seriously injured 	Gdańsk's mayor seriously injured after knife attack	Gdansk mayor seriously injured after knife attack
119934	On the investigator duo Fellner / Eisner is leaving 	You can rely on the investigative duo Fellner / Eisner	You can rely on the investigator duo Fellner/Eisner
119935	Ex-Leftsterrorist is to be delivered to Italy 	Ex-left terrorist is to be extradited to Italy	Ex-leftist terrorist to be extradited to Italy
119936	Podolski finds reactions to Ribéry's gold steak too extreme 	Podolski finds reactions to Ribéry's Gold Steak too extreme	Podolski finds reactions to Ribéry's golden steak too extreme
119937	High time that the state provides validity 	It is high time that the state asserted itself	High time for the state to assert itself
119941	Ex-Hertha Professional Ronny signs at Berlin United 	Ex-Hertha professional Ronny signs with Berlin United	Ex-Hertha pro Ronny signs with Berlin United
119943	SPD calls for legal levers against short-term rentals 	SPD calls for legal levers against short-term rentals	SPD calls for legal levers against short-term rentals
119944	Trains are still quiet for hours: Chaos at Hannover station 	Trains stand still for hours: chaos at Hanover station	Trains stand still for hours: chaos at Hanover station
119945	"""Poldi pulls the masses"" "	"""Poldi attracts the masses"""	"""Poldi draws the crowds"""
119946	Annoying for rent by rent at Neumarkt - Administration defends itself 	Trouble about the rental ban on Neumarkt - administration defends itself	Trouble over rental ban on Neumarkt - administration defends itself
119947	Cortina takes over departure from St. Anton 	Cortina takes over the departure from St. Anton	Cortina takes over downhill from St. Anton
119948	Bitkom: Digital industry is job engine 	Bitkom: The digital sector is a job engine	Bitkom: Digital industry is job engine
